"code_domaine_competence","domaine_competence","code_enjeu","enjeu","code_objectif","objectif","code_macro_competence","code_ogr_macro_competence","libelle_macro_competence","code_ogr_competence","libelle_competence"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","505510","Développer des techniques de maquillage rapide pour les changements rapides de scène"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","509086","Animer une soirée musicale"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","509087","Interagir avec le public pour dynamiser l'événement"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","104040","Animer des salles de machines à sous"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","115383","Animer en direct des jeux, des interventions faisant appel au public"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","118132","Organiser des activités ludiques et éducatives durant le trajet"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","119753","Animer un stand"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","121332","Animer des jeux en réseau"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","125649","Ranger des équipements de jeux"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","300515","Animer des jeux de cartes"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","300516","Animer des jeux de dés"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","300517","Animer des jeux de roue"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","300543","Animer la table de jeu"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A106","404514","Animer un jeu","518432","Réaliser les opérations d'ouverture et de fermeture d'une table de jeu"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","103890","Concevoir une animation événementielle"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","107848","Organiser et animer des activités ludiques et d'éveil"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","125537","Présenter le programme en assurant l'homogénéité du ton, du rythme, des propos dans le respect de la charte de l'antenne"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","125671","Concevoir des animations selon les types de publics"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","403343","Prendre en compte les réalités physiques et psychologiques des différents publics"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","482287","Encadrer les activités en assurant la sécurité physique et psychique de l'autre"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","489825","Participer à l'organisation d'animations ou d'évènements au sein du bar"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","513557","Ajuster son temps de parole à la durée prévue et aux aléas de l'émission"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","514861","Créer et animer des actions internes ou externes sur les thématiques de transition écologique"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A107","404515","Concevoir des animations","521371","Elaborer un programme annuel ou pluriannuel d'actions"
"1","Management, Social, Soin","1B","Management","1B1","Animer un collectif","1B101","300440","Animer, coordonner une équipe","121884","Réaliser le suivi d'une équipe d'intervention"
