"code_ogr","libelle","code_rubrique"
"103807","Localiser les défaillances de canalisation et en identifier la nature","1"
"103816","Identifier la configuration et le dimensionnement d'un moule, le type d'armatures, le mode de coulage et de démoulage selon la pièce à fabriquer","1"
"103817","Préparer le matériel (coupe des fils et torons d'acier, ...) et la matière nécessaire à la réalisation du produit (précontraint, pièce béton)","1"
"103818","Positionner dans le moule ou le banc de précontrainte les aciers, armatures, inserts, réservations, ...","1"
"103819","Réaliser les éléments constitutifs d'un moule (sous ensemble métal, bois, pvc, armature) en vue du coulage du béton","1"
"103820","Couler le béton dans le moule ou le banc de précontrainte","1"
"103821","Décoffrer la pièce en béton et démonter le moule","1"
"103832","Réaliser des pièces de précontrainte au moyen de banc de précontrainte (pré-dalles, poutrelles, dalles alvéolées, pré-linteaux)","1"
"103833","Réaliser des pièces de précontrainte au moyen de moules","1"
"103841","Fournir des informations touristiques et locales aux clients","1"
"103866","Recueillir les informations sur la durée, le nombre de participants, les spécificités de la prestation d'accompagnement touristique","1"
"103888","Concevoir le programme des activités selon les spécificités du public","1"
"103889","Identifier les attentes du public, l'informer sur la ou les activités d'animation et les modalités d'organisation","1"
"103890","Concevoir une animation événementielle","1"
"103909","Informer les parents sur l'organisation de la structure et présenter le programme des activités aux enfants","1"
"103913","Observer le comportement, l'évolution de l'enfant et repérer d'éventuelles difficultés","1"
"103922","Encadrer des activités nécessitant une habilitation BAFA","1"
"103925","Informer le public sur la pratique de la discipline sportive et les modalités d'organisation des séances","1"
"103926","Evaluer le niveau de départ du pratiquant","1"
"103927","Adapter un parcours ou une séquence pédagogique selon le niveau et la progression des apprenants","1"
"103928","Présenter l'exercice aux pratiquants et apporter un appui technique","1"
"103929","Réaliser le suivi du matériel ou des équipements sportifs","1"
"103931","Réaliser le bilan du projet éducatif ou d'animation sportive et proposer des évolutions","1"
"103936","Coacher des sportifs amateurs","1"
"104010","Surveiller des bassins aquatiques ou un espace de baignade","1"
"104016","Contrôler le fonctionnement d'un dispositif de sécurité","1"
"104030","Vérifier le fonctionnement des équipements de jeux","1"
"104040","Animer des salles de machines à sous","1"
"104047","Concevoir un voyage à la carte","1"
"104050","Organiser la chaîne de transport national et international","1"
"104070","Sélectionner les produits touristiques selon la demande du client et lui en présenter les caractéristiques (centres d'intérêt, formalités, tarifs, ...)","1"
