parent_entity_id,child_entity_id,entity_kind,relation_type,source
SKL_f37682de4b11,SKL_a2aeab830409,skill,broader_than,ESCO_SKILLS
SKL_848713e2923c,SKL_9055dd908bdf,skill,broader_than,ESCO_SKILLS
SKL_d8f0765c1c31,SKL_136d1d682b59,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_dd10d1a829c9,skill,broader_than,ESCO_SKILLS
SKL_1453ea0b57fd,SKL_5b3f38c82113,skill,broader_than,ESCO_SKILLS
SKL_7f78d2ca0672,SKL_4fb65747edd3,skill,broader_than,ESCO_SKILLS
SKL_8a4017e488ab,SKL_ed1c943a2742,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_59347ba99f49,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_b22bcd60a416,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_81d5b505c80d,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_ab670ca70003,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_658a393bd878,skill,broader_than,ESCO_SKILLS
SKL_5c624c745d04,SKL_72d077beb76d,skill,broader_than,ESCO_SKILLS
SKL_9f20de910254,SKL_37f09f38257b,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_e09879137502,skill,broader_than,ESCO_SKILLS
SKL_2ce7334bb9c5,SKL_249ccf2ac00c,skill,broader_than,ESCO_SKILLS
SKL_848713e2923c,SKL_56358ec7d691,skill,broader_than,ESCO_SKILLS
SKL_b0431e61371b,SKL_b5cbafabb60c,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_b5bcb2fa8e6d,skill,broader_than,ESCO_SKILLS
SKL_9cdb860e33fb,SKL_ae868395e7ed,skill,broader_than,ESCO_SKILLS
SKL_e88666ea091c,SKL_f14939dc09c4,skill,broader_than,ESCO_SKILLS
SKL_309165ba639e,SKL_3d8a8521327a,skill,broader_than,ESCO_SKILLS
SKL_0a8cc966ac29,SKL_30e56678609f,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_2160823e5269,skill,broader_than,ESCO_SKILLS
SKL_ef3949b7f79f,SKL_9286c6306295,skill,broader_than,ESCO_SKILLS
SKL_7cb0b95d8ecb,SKL_bb50b52446d2,skill,broader_than,ESCO_SKILLS
SKL_f37682de4b11,SKL_96a1e6b4ee57,skill,broader_than,ESCO_SKILLS
SKL_95c40cdd51f6,SKL_393a06e472af,skill,broader_than,ESCO_SKILLS
SKL_90aa7853e0d6,SKL_ef5d231e6260,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_faa48d074cba,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_35c0fe31d3cc,skill,broader_than,ESCO_SKILLS
SKL_445b3ba921d0,SKL_252e8dfa3dbf,skill,broader_than,ESCO_SKILLS
SKL_8a4017e488ab,SKL_96926ab90fab,skill,broader_than,ESCO_SKILLS
SKL_e88666ea091c,SKL_7688aa622488,skill,broader_than,ESCO_SKILLS
SKL_77f2ba894546,SKL_1a9765b43218,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_ac28289e01c7,skill,broader_than,ESCO_SKILLS
SKL_4347c571ba42,SKL_5438553894f6,skill,broader_than,ESCO_SKILLS
SKL_bf0b9f662415,SKL_45e7eb8aec48,skill,broader_than,ESCO_SKILLS
SKL_69b44233a92b,SKL_45d570f6033e,skill,broader_than,ESCO_SKILLS
SKL_9f20de910254,SKL_ecd658ebb1d8,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_77f91ccfa0fc,skill,broader_than,ESCO_SKILLS
SKL_0c69b2e7a542,SKL_30384aa680c2,skill,broader_than,ESCO_SKILLS
SKL_9f20de910254,SKL_5ec88e36b011,skill,broader_than,ESCO_SKILLS
SKL_cb1978958417,SKL_91e44b7899ca,skill,broader_than,ESCO_SKILLS
SKL_9f20de910254,SKL_627ef64a8554,skill,broader_than,ESCO_SKILLS
SKL_7cb0b95d8ecb,SKL_138d3c16c190,skill,broader_than,ESCO_SKILLS
SKL_e88666ea091c,SKL_86420149ed27,skill,broader_than,ESCO_SKILLS
SKL_d04bef74edf7,SKL_362baba5cb5a,skill,broader_than,ESCO_SKILLS
SKL_ca776a7a3b8c,SKL_23352a87e7bc,skill,broader_than,ESCO_SKILLS
SKL_3cd7a0007015,SKL_d5ad7b48e431,skill,broader_than,ESCO_SKILLS
SKL_6cccbc832323,SKL_851ecd42bd1c,skill,broader_than,ESCO_SKILLS
SKL_f3ca1938b8f6,SKL_fc4eb9b88609,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_0dd7f35929a5,skill,broader_than,ESCO_SKILLS
SKL_cdee588f84aa,SKL_5fca413b3927,skill,broader_than,ESCO_SKILLS
SKL_cdee588f84aa,SKL_244c1cdeefce,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_9fc5ffd462ae,skill,broader_than,ESCO_SKILLS
SKL_87acac1fd513,SKL_64d0c3730751,skill,broader_than,ESCO_SKILLS
SKL_8c16ca127c1f,SKL_9956fe48da2c,skill,broader_than,ESCO_SKILLS
SKL_a41501d93d27,SKL_81f56340845e,skill,broader_than,ESCO_SKILLS
SKL_cb1978958417,SKL_c89ab40dad70,skill,broader_than,ESCO_SKILLS
SKL_23085972a5e1,SKL_3942868ffc76,skill,broader_than,ESCO_SKILLS
