entity_id,source,source_id,isco_code,pref_label_fr,pref_label_en,alt_labels_fr,alt_labels_en,description_fr,description_en,occupation_type,label_language_status
OCC_47b1b32e81f9,ESCO,a44a1dc5-be08-4840-8bd5-770c4ac1ca6d,3512,technicien en sécurité informatique/technicienne en sécurité informatique,,agente de sécurité informatique | technicienne en sécurité informatique | agent de sécurité informatique | technicien en sécurité des technologies de l'information et de la sécurité | responsable de la sécurité informatique | technicienne en sécurité des technologies de l'information et de la sécurité | technicienne en sécurité des TIC | technicien en sécurité des TIC | technicien en sécurité informatique,,"Les techniciens/techniciennes en sécurité informatique proposent et mettent en œuvre les mises à jour nécessaires en matière de sécurité en fonction des besoins. Ils/Elles conseillent, aident et informent les utilisateurs, et proposent des actions de formation et de sensibilisation à la sécurité.",,Occupation,fr_native
OCC_20596f0afee7,ESCO,a6a0b60f-08da-4faa-bf54-942987efb471,2511,analyste de système informatique,,analyste système TIC | analyste système | analyste de systèmes de technologies de l'information et de la communication,,"Les analystes du système TIC précisent le système pour répondre aux besoins des utilisateurs finaux. Ils analysent les fonctions du système afin de définir leurs objectifs ou leurs finalités et de découvrir les opérations et les procédures qui permettront de les mettre en œuvre de la manière la plus efficace possible. Ils conçoivent également de nouvelles solutions informatiques afin d’améliorer l’efficacité et la productivité des entreprises, de produire des modèles de conception et d’estimer les coûts des nouveaux systèmes, de préciser les opérations que le système réalisera et de visualiser les données consultées par l’utilisateur final. Ils présentent la conception aux utilisateurs et travaillent en étroite collaboration avec les utilisateurs pour mettre en œuvre la solution.",,Occupation,fr_native
OCC_aa3336017d8a,ESCO,a74f6c51-37e5-423e-aa5b-044e98663027,2513,administrateur de contenu web/administratrice de contenu web,,administratrice du contenu Internet | administrateur du contenu web | administrateur du contenu Internet | administrateur des contenus Internet | administratrice des contenus Internet | gestionnaire du contenu web | administratrice du contenu web | administrateur des contenus en ligne | administrateur de contenu web | administratrice des contenus en ligne | administratrice de contenu web,,"Le gestionnaire de contenu web organise ou crée un contenu pour une plateforme web conformément aux objectifs stratégiques à long terme, aux politiques et aux procédures applicables au contenu en ligne d’un organisme ou à ses clients. Ils contrôlent et contrôlent le respect des normes, des dispositions légales et réglementaires en matière de protection de la vie privée et assurent l’optimisation du web. Ils sont également chargés d’intégrer le travail des écrivains et des designers pour produire une présentation finale qui soit compatible avec les normes d’entreprise.",,Occupation,fr_native
OCC_a1ea51659e23,ESCO,a7c1d23d-aeca-4bee-9a08-5993ed98b135,2511,développeur de systèmes informatiques/développeuse de systèmes informatiques,,développeur de systèmes de technologies de l'information et de la communication | développeuse de systèmes informatiques | développeur système | développeuse système | développeuse système TIC | développeuse de systèmes de technologies de l'information et de la communication | développeur système TIC | développeur de systèmes informatiques,,"Les développeurs de systèmes TIC maintiennent, contrôlent et améliorent les systèmes de soutien organisationnel. Ils utilisent les technologies existantes ou nouvelles pour répondre à des besoins particuliers. Ils testent à la fois les composants du système matériel et logiciel, le diagnostic et la résolution des défaillances du système.",,Occupation,fr_native
OCC_0464755fe4e8,ESCO,a99b38bc-6e71-4bef-b127-0f2b5e357815,2529,responsable de la résilience informatique,,responsable risque opérationnel et résilience informatique | responsable de la résilience TIC,,"Recherche, plan et élaboration de modèles, de politiques, de méthodes, de techniques et d’outils pour renforcer la cybersécurité, la résilience et le rétablissement après sinistre de l’organisation.",,Occupation,fr_native
OCC_708b91f0f734,ESCO,aaeec9a7-dc57-4485-890c-86b3eef735f9,3512,agent de service d’assistance informatique/agente de service d’assistance informatique,,agent du service d'assistance en TIC | agente du service d'assistance en technologies de l'information et de la communication | agent du service d'aide aux utilisateurs | agente de service d'assistance informatique | agent du service d'assistance en technologies de l'information et de la communication | conseiller en assistance technique TIC | technicien de support informatique | agente help desk informatique | agente du service d'assistance en TIC | agent help desk informatique | agent du service d'assistance TIC | conseiller en assistance informatique | agente du service d'aide aux utilisateurs | agent de service d'assistance informatique,,"Les agents/agentes de service d’assistance informatique fournissent une assistance technique aux utilisateurs, répondent aux questions ou résolvent les problèmes informatiques pour les clients par téléphone ou par voie électronique. Ils/Elles fournissent une assistance en ce qui concerne l’utilisation de matériel informatique et de logiciels.",,Occupation,fr_native
OCC_11d84dbfc1bc,ESCO,b11e1742-5e28-4270-b081-b0193d85ee7d,2521,développeur de base de données/développeuse de base de données,,responsable de base de données | concepteur de base de données | conceptrice de base de données | développeuse de base de données | développeur de base de données,,"Programmer, mettre en œuvre et coordonner les changements apportés aux bases de données informatiques sur la base de leur expertise des systèmes de gestion des bases de données.",,Occupation,fr_native
OCC_30549a5affd9,ESCO,b1c80369-067e-4041-84c8-dbe65640a5d8,2511,consultant informatique/consultante informatique,,conseillère technologies de l'information et de la communication | conseillère sur les TIC | consultante en TIC | consultant en technologies de l'information et de la communication | conseiller informatique | consultant en TIC | consultant informatique | conseillère en informatique | consultante informatique | conseiller technologies de l'information et de la communication | conseiller sur les TIC | conseiller en informatique | consultante en technologies de l'information et de la communication,,"Les consultants en TIC fournissent des conseils sur la manière d’optimiser l’utilisation des outils et systèmes existants, formulent des recommandations pour le développement et la mise en œuvre d’un projet d’entreprise ou d’une solution technologique et contribuent à la définition des projets. Ils sensibilisent aux innovations des technologies de l’information et à leur valeur potentielle pour une entreprise. Ils participent également à l’évaluation et au choix des solutions TIC.",,Occupation,fr_native
OCC_28d6f1c634d8,ESCO,bb6198c4-1d3e-40b9-9cc4-ad2dd9d7c74b,2514,développeur de logiciels pour appareils mobiles destinés à l’industrie/développeuse de logiciels pour appareils mobiles destinés à l’industrie,,développeuse de logiciels pour appareils mobiles destinés à l'industrie | développeur de logiciels pour appareils mobiles destinés à l'industrie,,"Les développeurs de logiciels industriels mobiles mettent en œuvre des logiciels d’applications pour des dispositifs mobiles industriels professionnels (portables) spécifiques, basés sur les besoins de l’industrie, en utilisant des outils de développement généraux ou spécifiques pour les systèmes d’exploitation de dispositifs.",,Occupation,fr_native
OCC_cd04c9fb1a40,ESCO,bd272aee-adc9-4a06-a15c-a73b4b4a46a7,2514,concepteur de logiciels d’application/conceptrice de logiciels d’application,,conceptrice de logiciels | concepteur de logiciels | concepteur de logiciels applicatifs | conceptrice de logiciels d'application | conceptrice de logiciels applicatifs | concepteur de logiciels d'application | concepteur informatique | conceptrice informatique,,"Les développeurs d’applications TIC mettent en œuvre les applications TIC (logiciels) sur la base des dessins ou modèles fournis en utilisant des langages, outils, plateformes et expériences spécifiques au domaine de l’application.",,Occupation,fr_native
