canonical_id,primary_label_en,primary_label_fr,alt_labels_en,alt_labels_fr,hard_soft,it_subtype,sources,member_entity_ids
CANS_c8faeffa8d08,implement ICT security policies,mettre en œuvre les politiques de sécurité des TIC,implementing computer network safety policies | implementing ICT safety policies | implement computer network safety policies | implement ICT safety policies | implement computer network security policies | apply on-line safety guidelines | ICT safety policies implementing | apply on-line security guidelines | on-line security guidelines applying | on-line safety guidelines applying,lignes directrices en matière de sécurité en ligne | directives de sécurité en ligne applicables | la mise en œuvre des politiques de sécurité des réseaux informatiques | mettre en œuvre des politiques en matière de sécurité des TIC | mise en œuvre des politiques en matière de sécurité des TIC | appliquer les lignes directrices en matière de sécurité en ligne | lignes directrices de sécurité en ligne | appliquer les consignes de sécurité en ligne | mettre en œuvre des politiques de sécurité des réseaux informatiques | la mise en œuvre des politiques en matière de sécurité des TIC | mise en œuvre des politiques de sécurité des TIC | mettre en œuvre des politiques de sécurité des TIC,hard,securite,ESCO,SKL_1a9765b43218
CANS_c1ee61831dac,IBM InfoSphere DataStage,IBM InfoSphere DataStage,Cognos Data Manager | InfoSphere DataStage MVS Edition | IBM InfoSphere DataStage Workgroup Edition,,hard,donnees_bdd,ESCO | ONET,SKL_6a7d20f9cd13 | SKL_ac28289e01c7
CANS_e364aa670efc,provide connected car solutions,fournir des solutions pour voitures connectées,deliver connected car solutions | supply connected vehicle solutions,fournir des solutions pour véhicules connectés | fournir des solutions de voiture connectée,hard,autre_hard,ESCO,SKL_5438553894f6
CANS_8fa7cafc7113,work ergonomically,travailler de façon ergonomique,plan an ergonomic work station | work in an ergonomic way | work to set up an ergonomic work station,,hard,autre_hard,ESCO,SKL_45e7eb8aec48
CANS_e05b657c6494,characteristics of products,caractéristiques des produits,product characteristics | characteristic of a product | qualities of products | components of products | characteristics of a product | aspects of products | attributes of products,,hard,autre_hard,ESCO,SKL_45d570f6033e
CANS_a6ef5728366d,operate the sound in the rehearsal studio,gérer le son dans le studio de répétition,operate sound | operate sound system | control sound system | control sound system for rehearsals | control the sound in the rehearsal studio | operate sound system for rehearsals,,hard,autre_hard,ESCO,SKL_ecd658ebb1d8
CANS_5911eb924677,web analytics,mesure de l’audience d’un site internet,,,hard,donnees_bdd,ESCO,SKL_77f91ccfa0fc
CANS_af75743a5da2,understand artistic concepts,comprendre des concepts artistiques,interpret artist's concept | use artistic concepts | understand an artist's concept | understand concepts of art,,hard,developpement_conception,ESCO,SKL_30384aa680c2
CANS_7eeecf3702ce,set up a multi-track recording,configurer un enregistrement multipiste,record music on multi-tracks | prepare a multi-track recording | set up a recording for a multi-track | setting up a multi-track recording,,hard,autre_hard,ESCO,SKL_5ec88e36b011
CANS_ea7bc768bddf,use e-services,utiliser les services en ligne,use online payment solutions | make use of e-services | use electronic services | engage in citizenship through digital technologies | able to use e-services | apply e-services | utilise e-services,s'engager dans la citoyenneté grâce aux technologies numériques | s’engager dans la citoyenneté au moyen des technologies numériques | utiliser des solutions de paiement en ligne | utiliser les services électroniques,hard,autre_hard,ESCO,SKL_91e44b7899ca
