Niveau;Code ISCO;Libellé
4;6223;Pêcheurs de la pêche en haute mer
4;6224;Chasseurs et trappeurs
2;6300;Agriculteurs, pêcheurs, chasseurs et cueilleurs, subsistance
3;6310;Cultivateurs, subsistance
4;6310;Cultivateurs, subsistance
3;6320;Éleveurs de bétail, subsistance
4;6320;Eleveurs de bétail, subsistance
3;6330;Agriculteurs et éleveurs, subsistance
4;6330;Agriculteurs et éleveurs, subsistance
3;6340;Pêcheurs, chasseurs, trappeurs et cueilleurs, subsistance
4;6340;Pêcheurs, chasseurs, trappeurs et cueilleurs, subsistance
1;7000;Métiers qualifiés de l'industrie et de l'artisanat
2;7100;Métiers qualifiés du bâtiment et assimilés, sauf électriciens
3;7110;Métiers qualifiés du bâtiment (gros œuvre) et assimilés
4;7111;Constructeurs de maisons
4;7112;Maçons
4;7113;Fendeurs et tailleurs de pierre
4;7114;Constructeurs en béton armé, maçons ragréeurs et assimilés
4;7115;Charpentiers travaillant le bois, menuisiers
4;7119;Métiers qualifiés du bâtiment (gros œuvre) et assimilés non classés ailleurs
3;7120;Métiers qualifiés du bâtiment (second oeuvre) et assimilés
4;7121;Couvreurs
4;7122;Poseurs de revêtements de sol et carreleurs
4;7123;Plâtriers
4;7124;Monteurs en isolation thermique et acoustique
4;7125;Vitriers
4;7126;Plombiers et tuyauteurs
4;7127;Mécaniciens-installateurs réfrigération et climatisation
3;7130;Ouvriers peintres, ravaleurs de façades et assimilés
4;7131;Peintres en bâtiment et poseurs de papiers peints
4;7132;Laqueurs, vernisseurs et assimilés
4;7133;Ravaleurs de façades et ramoneurs
2;7200;Métiers qualifiés de la métallurgie, de la construction mécanique et assimilés
3;7210;Mouleurs de fonderie, soudeurs, tôliers-chaudronniers, monteurs de charpentes métalliques et assimilés
4;7211;Mouleurs et noyauteurs de fonderie
4;7212;Soudeurs et oxycoupeurs
4;7213;Tôliers-chaudronniers
4;7214;Charpentiers métalliers et monteurs de charpentes métalliques
4;7215;Gréeurs et épisseurs de câbles
3;7220;Forgerons, fabricants d'outils et assimilés
4;7221;Forgerons, estampeurs et conducteurs de presses à forger
4;7222;Fabricants d'outil et assimilés
4;7223;Régleurs et conducteurs de machines-outils
4;7224;Meuleurs, polisseurs et affûteurs
3;7230;Mécaniciens et réparateurs de machines
4;7231;Mécaniciens et réparateurs de véhicules à moteur
4;7232;Mécaniciens et réparateurs d'avions
4;7233;Mécaniciens et réparateurs de machines agricoles et industrielles
4;7234;Réparateurs de bicyclettes et assimilés
2;7300;Métiers qualifiés de l'artisanat et de l'imprimerie
3;7310;Métiers de l'artisanat
4;7311;Mécaniciens-réparateurs d'instruments de précision
4;7312;Facteurs et accordeurs d'instruments de musique
4;7313;Joailliers et orfèvres
4;7314;Potiers et assimilés
4;7315;Souffleurs, mouleurs, tailleurs, meuleurs et polisseurs de verre
4;7316;Peintres d'enseignes, peintres-décorateurs et graveurs
4;7317;Métiers de la fabrication artisanale sur bois et matériaux similaires
4;7318;Métiers de la fabrication artisanale sur textile, cuir et matériaux similaires
4;7319;Métiers de la fabrication artisanale non classés ailleurs
3;7320;Métiers de l'imprimerie
4;7321;Compositeurs et préparateurs, travaux préparatoires à l’impression
4;7322;Imprimeurs
4;7323;Relieurs et assimilés
2;7400;Métiers de l'électricité et de l'électronique
3;7410;Installateurs et réparateurs, équipements électriques
4;7411;Électriciens du bâtiment et assimilés
4;7412;Mécaniciens et ajusteurs, appareils électriques
4;7413;Monteurs et réparateurs de lignes électriques
3;7420;Monteurs et réparateurs, électronique et télécommunications
4;7421;Mécaniciens et réparateurs d'appareils électroniques
4;7422;Monteurs et réparateurs, technologies de l'information et des communications
2;7500;Métiers de l'alimentation, du travail sur bois, de l'habillement et autres métiers qualifiés de l'artisanat
3;7510;Métiers qualifiés de la restauration et assimilés
4;7511;Bouchers, poissonniers et assimilés
4;7512;Boulangers, pâtissiers et confiseurs
4;7513;Fabricants de produits laitiers
4;7514;Conserveurs de fruits, de légumes et professions assimilées
4;7515;Dégustateurs et évaluateurs de produits alimentaires et de boissons
4;7516;Métiers qualifiés de la préparation et de la fabrication des produits du tabac
3;7520;Métiers qualifiés du traitement du bois, ébénistes et assimilés
4;7521;Métiers qualifiés du traitement du bois
4;7522;Ébénistes et assimilés
4;7523;Régleurs et conducteurs de machines à bois
3;7530;Métiers qualifiés de l'habillement et assimilés
4;7531;Tailleurs, couturiers, fourreurs, modistes et chapeliers
4;7532;Métiers qualifiés de la coupe de vêtements et assimilés
4;7533;Couseurs, brodeurs et assimilés
4;7534;Tapissiers et assimilés
4;7535;Tanneurs, peaussiers et mégissiers
4;7536;Cordonniers et assimilés
3;7540;Autres métiers qualifiés de l'artisanat
4;7541;Scaphandriers et plongeurs
4;7542;Boutefeux et spécialistes en explosifs
4;7543;Contrôleurs qualité, trieurs et essayeurs de produits (à l'exception des aliments et des boissons)
4;7544;Fumigateurs et préposés au contrôle de la vermine et des mauvaises herbes
4;7549;Métiers qualifiés de l'artisanat non classés ailleurs
1;8000;Conducteurs d'installations et de machines, et ouvriers de l'assemblage
2;8100;Conducteurs de machines et d'installations fixes
3;8110;Conducteurs d'installations d'exploitation minière et d'extraction des minéraux
4;8111;Mineurs, carriers et conducteurs d'installations de mine
4;8112;Conducteurs d'installations de transformation des minerais et de la roche
4;8113;Foreurs, sondeurs de puits et assimilés
4;8114;Conducteurs de machines à fabriquer du ciment, de la pierre et d'autres produits minéraux
3;8120;Conducteurs d'installations de transformation et de traitement superficiel des métaux
4;8121;Conducteurs d'installations de transformation et de traitement des métaux
4;8122;Conducteurs d'installations de traitement superficiel des métaux
3;8130;Conducteurs d'installations et de machines pour la fabrication des produits chimiques et photographiques
4;8131;Conducteurs d'installations et de machines pour la fabrication de produits chimiques
4;8132;Conducteurs de machines pour la fabrication des produits photographiques
3;8140;Conducteurs de machines pour la fabrication de produits en caoutchouc, en matières plastiques ou de produits de papeterie
4;8141;Conducteurs de machines pour la fabrication des produits en caoutchouc
4;8142;Conducteurs de machines pour la fabrication de produits en matières plastiques
4;8143;Conducteurs de machines de papeterie
3;8150;Conducteurs de machines pour la fabrication de produits textiles et d'articles en fourrure ou en cuir
4;8151;Conducteurs de machines à préparer les fibres, à filer et à bobiner
4;8152;Conducteurs de machines à tisser et à tricoter
4;8153;Conducteurs de machines à coudre et à broder
4;8154;Conducteurs de machines à blanchir, à teindre et à nettoyer les tissus (gros)
4;8155;Conducteurs de machines à préparer les fourrures et le cuir
4;8156;Conducteurs de machines pour la fabrication de chaussures, d'articles de maroquinerie et assimilés
4;8157;Conducteurs de machines de blanchisserie
4;8159;Conducteurs de machines pour la fabrication de produits textiles et d'articles en fourrure ou en cuir, non classés ailleurs
3;8160;Conducteurs de machines pour la fabrication de denrées alimentaires et de produits connexes
4;8160;Conducteurs de machines pour la fabrication de denrées alimentaires et de produits connexes
3;8170;Conducteurs d'installations pour la fabrication du papier et pour le travail du bois
4;8171;Conducteurs d'installations pour la fabrication du papier et de la pâte à papier
4;8172;Conducteurs d'installations pour le travail du bois
3;8180;Autres conducteurs de machines et d'installations fixes
4;8181;Conducteurs d'installations pour la fabrication de produits en verre ou en céramique
4;8182;Chauffeurs de machines à vapeur et de chaudières
4;8183;Conducteurs de machines d'emballage, d'embouteillage et d'étiquetage
4;8189;Conducteurs de machines et d'installations fixes non classés ailleurs
2;8200;Ouvriers de l'assemblage
3;8210;Ouvriers de l'assemblage
4;8211;Monteurs en construction mécanique
4;8212;Monteurs d'appareils électriques et électroniques
4;8219;Monteurs et assembleurs non classés ailleurs
2;8300;Conducteurs de véhicules et de matériels et engins mobiles
3;8310;Conducteurs de locomotives et assimilés
4;8311;Conducteurs de locomotives
4;8312;Serre-freins, aiguilleurs et agents de manœuvre
3;8320;Conducteurs d'automobiles, de camionnettes et de motocycles
4;8321;Conducteurs de motocycles
4;8322;Chauffeurs de taxi et conducteurs d'automobiles, de camionnettes et d'ambulances
3;8330;Conducteurs de poids lourds et d'autobus
4;8331;Conducteurs d'autobus et de tramways
4;8332;Conducteurs de poids lourds et de camions
3;8340;Conducteurs de matériels et engins mobiles
4;8341;Conducteurs d'engins mobiles agricoles et forestiers
4;8342;Conducteurs d'engins de terrassement et de matériels similaires
4;8343;Conducteurs de grues, d'engins de levage divers et de matériels similaires
4;8344;Conducteurs de chariots élévateurs
3;8350;Matelots de pont et assimilés
4;8350;Matelots de pont et assimilés
1;9000;Professions élémentaires
2;9100;Aides ménagers, agents d'entretien et de nettoyage
3;9110;Aides ménagers à domicile et agents d'entretien dans les hôtels et bureaux
4;9111;Aides ménagers à domicile
4;9112;Agents d'entretien dans les bureaux, les hôtels et autres établissements
3;9120;Laveurs de véhicules et de vitres, laveurs de linge et autres nettoyeurs manuels
4;9121;Laveurs et repasseurs de linge à la main
4;9122;Laveurs de véhicules
4;9123;Laveurs de vitres
4;9129;Autres agents de nettoyage
2;9200;Manœuvres de l'agriculture, de la pêche et de la sylviculture
3;9210;Manœuvres de l'agriculture, de la pêche et de la sylviculture
4;9211;Manœuvres sur cultures de plein champ et ramasseurs de fruits
4;9212;Manœuvres de l'élevage
4;9213;Manœuvres de la culture et de l'élevage combinés
4;9214;Manœuvres, cultures maraîchères et horticoles
4;9215;Manœuvres forestiers
